popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
61,0.0302,0.464,184556,0.637,3.37e-05,0.0876,-4.37,0.0694,186.1,0.281,1
70,0.274,0.605,185617,0.553,0.0152,0.184,-10.845,0.101,152.076,0.62,1
81,0.21,0.831,191437,0.782,0.0,0.113,-6.274,0.15,141.869,0.199,1
34,0.982,0.316,163573,0.0417,0.922,0.117,-25.161,0.0498,111.238,0.364,0
62,0.0473,0.578,201933,0.89,0.831,0.294,-5.96,0.0335,126.046,0.468,1
28,0.992,0.0722,372627,0.0184,0.92,0.0934,-29.46,0.046,75.843,0.0355,0
70,0.00457,0.496,260507,0.765,0.0,0.104,-5.66,0.033,74.072,0.337,1
61,0.166,0.642,243462,0.555,0.0,0.142,-8.401,0.0694,156.054,0.541,1
47,0.803,0.193,251173,0.00709,0.208,0.0981,-33.602,0.0436,94.681,0.037,0
70,0.089,0.412,200661,0.696,0.0,0.138,-3.681,0.0508,87.622,0.376,1
66,0.0867,0.713,304147,0.647,0.0,0.636,-8.22,0.439,94.036,0.694,1
34,0.927,0.302,394105,0.315,0.777,0.116,-16.84,0.0412,120.033,0.103,0
71,0.204,0.482,165040,0.714,0.000239,0.0973,-7.689,0.0518,82.019,0.536,1
64,0.846,0.33,245780,0.356,9.55e-05,0.194,-6.911,0.0352,93.778,0.243,1
0,0.981,0.203,625000,0.101,0.896,0.0826,-16.196,0.0372,79.933,0.0513,0
26,0.887,0.312,341453,0.132,0.785,0.0838,-20.458,0.0412,84.762,0.186,0
54,0.931,0.28,287987,0.287,0.888,0.0762,-22.167,0.0367,87.953,0.509,0
67,0.12,0.71,169012,0.781,0.0,0.0579,-4.762,0.0536,131.916,0.546,1
68,0.377,0.648,349933,0.631,0.0,0.12,-5.662,0.103,105.989,0.142,1
57,0.0268,0.641,201507,0.787,0.0,0.11,-4.271,0.0375,93.01,0.916,1
36,0.861,0.285,486293,0.21,0.807,0.668,-16.744,0.0503,90.027,0.261,0
54,0.815,0.649,214867,0.365,0.0,0.117,-14.807,0.116,143.639,0.501,0
45,0.994,0.479,197933,0.172,0.92,0.138,-22.543,0.0634,199.596,0.715,0
31,0.902,0.29,1245193,0.0668,0.000685,0.0747,-18.822,0.0357,86.872,0.0854,0
70,0.211,0.679,209093,0.643,0.0,0.154,-4.999,0.03,155.98,0.638,1
70,0.0272,0.579,240021,0.896,1.02e-06,0.352,-2.781,0.224,153.991,0.678,1
33,0.932,0.0762,330587,0.0217,0.963,0.0816,-24.505,0.0383,80.545,0.0346,0
60,0.092,0.912,233680,0.533,1.48e-06,0.174,-5.587,0.0618,119.922,0.208,1
0,0.983,0.332,272225,0.159,0.874,0.0911,-22.781,0.0377,130.172,0.256,0
82,0.0266,0.771,186240,0.768,1.26e-05,0.426,-7.773,0.0451,125.023,0.607,1
31,0.992,0.263,243347,0.11,0.926,0.123,-27.051,0.0374,85.855,0.342,0
18,0.992,0.216,100087,0.0734,0.41,0.128,-22.677,0.0439,75.295,0.206,0
67,0.867,0.752,274187,0.396,0.0,0.0486,-7.932,0.411,116.016,0.417,1
40,0.966,0.292,364387,0.0517,0.801,0.325,-19.908,0.0374,151.637,0.216,0
34,0.993,0.272,154533,0.0215,0.952,0.0625,-30.681,0.0369,70.293,0.0835,0
64,0.147,0.703,191486,0.701,0.0,0.27,-4.764,0.159,139.944,0.556,1
66,0.192,0.622,165744,0.694,0.000723,0.41,-4.581,0.034,124.123,0.75,1
