popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
21,0.925,0.0883,508240,0.0394,0.8590000000000001,0.0839,-23.1,0.0402,86.294,0.0371,0
23,0.956,0.128,245600,0.0417,0.95,0.0994,-20.971,0.0511,89.712,0.0376,0
37,0.981,0.198,162507,0.225,0.672,0.0744,-10.913,0.0363,72.154,0.0439,0
77,0.163,0.755,181102,0.769,0.00402,0.36,-5.569,0.0399,114.01100000000001,0.41600000000000004,1
35,0.912,0.27399999999999997,139767,0.46,0.007790000000000001,0.71,-10.137,0.0608,88.91799999999999,0.35200000000000004,0
88,0.0589,0.835,217925,0.626,5.9999999999999995e-05,0.396,-5.832999999999999,0.125,91.03,0.35,1
25,0.976,0.728,189480,0.19899999999999998,0.894,0.114,-15.241,0.0373,106.00200000000001,0.604,0
35,0.922,0.107,951120,0.0404,0.927,0.105,-25.179000000000002,0.0433,83.10700000000001,0.0322,0
68,0.10800000000000001,0.5479999999999999,219293,0.742,0.0,0.0852,-4.757,0.0287,143.966,0.35200000000000004,1
30,0.917,0.16899999999999998,133893,0.433,0.8540000000000001,0.0793,-11.152000000000001,0.0336,62.291000000000004,0.319,0
41,0.987,0.375,177933,0.0072299999999999994,0.927,0.153,-41.935,0.0422,119.581,0.135,0
58,0.0315,0.7070000000000001,189280,0.726,0.000221,0.359,-3.515,0.0279,112.02600000000001,0.809,1
67,0.00182,0.664,216454,0.9079999999999999,0.0,0.109,-4.806,0.0317,118.031,0.889,1
76,0.6940000000000001,0.526,526387,0.32799999999999996,0.0,0.11199999999999999,-9.863999999999999,0.0461,116.068,0.11,1
74,0.0189,0.655,188493,0.632,0.0,0.0722,-4.802,0.0489,120.113,0.447,1
66,0.0525,0.599,193333,0.8690000000000001,0.00719,0.10300000000000001,-3.697,0.0789,108.061,0.593,1
73,0.0115,0.633,150467,0.478,0.0,0.10300000000000001,-5.571000000000001,0.0359,159.951,0.6920000000000001,1
0,0.9490000000000001,0.431,273440,0.157,0.826,0.124,-16.844,0.0386,144.446,0.441,0
25,0.938,0.16399999999999998,876267,0.22399999999999998,0.905,0.102,-17.004,0.0316,90.425,0.0993,0
64,0.0004940000000000001,0.435,207634,0.95,0.0,0.317,-3.8689999999999998,0.106,160.987,0.457,1
24,0.993,0.38799999999999996,179973,0.0286,0.912,0.0859,-25.441,0.0418,60.966,0.0856,0
22,0.9470000000000001,0.28800000000000003,245827,0.249,5.1e-05,0.45299999999999996,-18.8,0.0554,128.846,0.237,0
65,0.633,0.599,180120,0.36,5.44e-05,0.0849,-10.347000000000001,0.032,130.029,0.0956,1
68,0.401,0.37799999999999995,196227,0.457,0.0,0.0917,-9.292,0.0477,74.818,0.261,1
64,0.0041600000000000005,0.499,224147,0.769,0.0274,0.11699999999999999,-5.5760000000000005,0.0522,110.835,0.33299999999999996,1
43,0.9940000000000001,0.327,375380,0.0143,0.877,0.0782,-28.541,0.0432,137.345,0.0888,0
36,0.982,0.17600000000000002,263347,0.0442,0.9229999999999999,0.09,-23.375,0.0389,110.012,0.0366,0
12,0.991,0.254,106933,0.203,0.8859999999999999,0.313,-19.116,0.04,109.666,0.172,0
25,0.968,0.374,214293,0.27,0.934,0.242,-15.228,0.039,126.54299999999999,0.259,0
60,0.022000000000000002,0.5820000000000001,165587,0.846,0.0,0.133,-2.7710000000000004,0.0451,92.00399999999999,0.736,1
54,0.0042,0.53,173907,0.9420000000000001,0.0,0.136,-4.224,0.124,91.141,0.738,1
47,0.995,0.146,315186,0.0255,0.904,0.107,-21.45,0.0349,172.546,0.0485,0
33,0.96,0.2,200570,0.325,5.11e-05,0.276,-7.245,0.0297,90.59700000000001,0.396,0
58,0.0009570000000000001,0.445,192533,0.909,3.5100000000000006e-05,0.37799999999999995,-4.109,0.134,94.025,0.297,1
28,0.987,0.177,374000,0.0307,0.00014099999999999998,0.084,-27.476999999999997,0.0429,88.25200000000001,0.0616,0
37,0.977,0.318,544400,0.131,0.303,0.0651,-21.188000000000002,0.0447,89.954,0.185,0
29,0.885,0.28,102933,0.0202,0.105,0.114,-32.949,0.0419,127.471,0.27899999999999997,0
86,0.175,0.514,150333,0.618,0.0,0.11699999999999999,-4.585,0.0317,84.259,0.401,1
