X1,X2,y
-10.134,6.384,1.0
-7.503,5.645,1.0
-9.788,5.541,1.0
-9.059,5.646,1.0
-9.736,4.816,0.0
-8.761,5.41,1.0
-10.441,6.774,1.0
-10.028,5.909,1.0
-8.508,6.425,1.0
-7.717,6.316,1.0
-9.408,5.932,1.0
-9.952,5.889,1.0
-8.429,6.915,1.0
-10.669,6.483,1.0
-9.31,8.395,1.0
-7.449,5.354,1.0
-9.929,4.345,0.0
-8.65,5.858,1.0
-8.479,5.979,1.0
-10.744,5.201,1.0
-10.304,6.178,1.0
-9.334,5.694,1.0
-9.332,7.963,1.0
-8.281,7.143,1.0
-6.917,4.715,0.0
-8.462,5.955,1.0
-6.403,5.942,1.0
-9.945,6.541,1.0
-9.055,7.12,1.0
-9.192,5.39,1.0
-9.445,3.796,0.0
-9.431,5.575,1.0
-8.853,6.425,1.0
-8.653,5.724,1.0
-10.202,7.031,1.0
-8.277,7.433,1.0
-8.39,5.416,1.0
-9.158,5.637,1.0
-8.732,6.622,1.0
-8.762,5.251,1.0
-9.279,6.702,1.0
-8.401,6.215,1.0
-7.7,5.396,1.0
-8.748,6.832,1.0
-9.369,4.97,0.0
-9.648,8.149,1.0
-11.137,6.466,1.0
-9.309,8.103,1.0
-10.05,5.873,1.0
-10.584,5.389,1.0
-8.896,5.966,1.0
-8.324,4.948,0.0
-10.372,6.446,1.0
-10.636,5.392,1.0
-9.173,5.074,1.0
-8.087,7.256,1.0
-8.776,5.52,1.0
-8.537,5.73,1.0
-9.384,7.212,1.0
-9.489,6.519,1.0
-11.533,6.652,1.0
-10.032,6.003,1.0
-7.774,6.044,1.0
-8.825,5.436,1.0
-9.087,6.396,1.0
-10.138,6.637,1.0
-8.217,7.32,1.0
-9.162,4.338,0.0
-8.37,5.603,1.0
-9.687,5.027,1.0
-10.514,5.991,1.0
-7.243,6.286,1.0
-8.033,6.461,1.0
-10.265,4.085,0.0
-9.121,7.285,1.0
-9.982,5.727,1.0
-9.234,5.696,1.0
-8.85,6.086,1.0
-9.737,3.768,0.0
-8.801,6.237,1.0
-8.613,8.462,1.0
-7.687,6.391,1.0
-9.437,5.544,1.0
-11.027,6.72,1.0
-9.048,6.847,1.0
-8.112,5.286,1.0
-7.731,5.546,1.0
-9.803,5.872,1.0
-9.03,5.786,1.0
-8.803,8.105,1.0
-9.232,8.694,1.0
-8.18,6.681,1.0
-9.42,6.317,1.0
-8.635,6.167,1.0
