X1,X2,y
-1.933,-2.637,0.0
-0.896,-4.13,0.0
1.002,1.368,1.0
2.876,2.868,1.0
-2.589,-3.281,0.0
0.076,0.969,1.0
-2.611,-5.092,0.0
-2.541,-3.455,0.0
0.811,1.399,1.0
-0.504,2.618,1.0
1.629,3.986,1.0
-3.536,-3.516,0.0
2.976,1.894,1.0
1.375,1.868,1.0
0.792,3.657,1.0
2.463,3.61,1.0
0.686,1.955,1.0
-3.194,-1.972,0.0
0.363,0.955,1.0
-1.986,-3.278,0.0
2.029,-0.071,1.0
2.296,3.895,1.0
-0.687,-2.609,0.0
-1.815,-2.135,0.0
-1.5,-3.417,0.0
0.873,2.609,1.0
0.649,2.174,1.0
-0.753,0.012,1.0
2.237,0.879,1.0
-3.178,-2.924,0.0
-0.354,2.371,1.0
-3.193,-0.973,0.0
1.72,1.217,1.0
-1.381,-4.026,0.0
-2.291,-2.012,0.0
-2.627,-1.967,0.0
-2.859,-3.526,0.0
-1.724,-2.607,0.0
-0.273,-1.119,0.0
-2.615,-1.787,0.0
0.417,1.27,1.0
-2.409,-2.219,0.0
-0.416,-2.881,0.0
1.751,2.445,1.0
-1.648,-3.5,0.0
-1.939,-1.112,0.0
-0.348,1.655,1.0
2.348,2.269,1.0
-2.247,-1.008,0.0
0.978,0.344,1.0
-2.648,-0.851,0.0
-0.391,2.729,1.0
1.795,1.088,1.0
1.898,2.985,1.0
1.798,3.448,1.0
0.452,1.891,1.0
-1.087,-1.744,0.0
-2.475,-1.509,0.0
-0.791,-2.717,0.0
-2.272,-3.295,0.0
-2.868,-3.98,0.0
0.389,1.101,1.0
-2.499,-2.54,0.0
-2.77,-2.348,0.0
-2.567,-2.659,0.0
-0.377,-4.38,0.0
1.805,2.003,1.0
2.83,2.469,1.0
2.896,3.398,1.0
2.134,1.944,1.0
-0.74,-0.507,0.0
-2.211,-2.054,0.0
-1.839,-2.927,0.0
-2.843,-2.953,0.0
1.962,1.678,1.0
2.199,0.942,1.0
-1.027,-2.647,0.0
1.131,2.453,1.0
-0.503,-3.355,0.0
-0.027,2.349,1.0
0.732,1.502,1.0
-2.498,-3.565,0.0
-1.547,-3.604,0.0
-2.931,-2.56,0.0
-1.886,-2.603,0.0
-1.212,-2.59,0.0
-2.656,-3.308,0.0
1.219,2.442,1.0
-1.442,-4.037,0.0
1.259,2.572,1.0
2.688,3.152,1.0
-3.89,-2.407,0.0
